Election,CONSTITUENCY,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
,,,Year,,,,,,,,
,,,Year,,,,,,,2016 presidential election,http://psephos.adam-carr.net/countries/h/haiti/haiti20161.txt
,,,Year,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRANDE RIVIERE DU NORD-BAHON,NORD,2016,Jacques JULMICE,Verite,,,"6,565",55.5,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,Ocinjac Benjamin,PHTK,,,"5,268",44.5,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PLAISANCE,NORD,2016,Audne ALCIDE,Verite,,,"4,554",52.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),PLAISANCE,NORD,2016,Renaud Jean Baptiste,PHTK,,,"4,149",47.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT MARGOT,NORD,2016,Philome Hilaire FANFAN,PHTK,,,"4,808",59.1,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT MARGOT,NORD,2016,Tholeme S Joseph,PD,,,"3,327",40.9,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT RAPHAEL,NORD,2016,Jean-Wilfrid BORGELLA,PHTK,,,"4,622",59.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),SAINT RAPHAEL,NORD,2016,Bener Sissoir,PD,,,"3,192",40.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),MOLE SAINT-NICOLAS,NORD OUEST,2016,Yves DUPRAS,Verite,,,"4,413",58.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),MOLE SAINT-NICOLAS,NORD OUEST,2016,Eloune Doreus,OPL,,,"3,120",41.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,NORD OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),ARCAHAIE,OUEST,2016,Pierre Fequiere JULIEN,Canaan,,,"7,050",57.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),ARCAHAIE,OUEST,2016,Joseph Lucien Jura,PHTK,,,"5,225",42.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,OUEST,2016,Joseph Manes LOUIS,Fanmi L,,,"5,489",59.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,OUEST,2016,Pierre Sadrac Fenelus,Renmen A,,,"2,616",28.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),CABARET,OUEST,2016,Judith Drouillard Benoit,Verite,,,"1,108",12,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CITE SOLEIL,OUEST,2016,Lemaire PIERRE,Renmen A,,,"8,328",83.6,,
CHAMBER OF DEPUTIES (SECOND ROUND),CITE SOLEIL,OUEST,2016,Almetis J Saint-Fleur,OPL,,,"1,632",16.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CORNILLON,OUEST,2016,Raymonde RIVAL,APLA,,,"4,810",55.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),CORNILLON,OUEST,2016,Alphonse Medeus,Verite,,,"3,903",44.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRESSIER,OUEST,2016,Joseph Antonio VERICAIN,PHTK,,,"5,502",57.8,,
CHAMBER OF DEPUTIES (SECOND ROUND),GRESSIER,OUEST,2016,Jean Ronald Oscar,KID,,,"4,020",42.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),OUEST,2016,Roger MILLIEN,Fanmi L,,,"6,342",36.2,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),OUEST,2016,Lucsonne Janvier,Bouclier,,,"5,657",32.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),PORT-AU-PRINCE (1ERE),OUEST,2016,Patrick Severin,Inite,,,"5,501",31.4,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,OUEST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),CAMP-PERRIN-MANICHE,SUD,2016,Bertin AUGUSTIN,Verite,,,"6,465",66.9,,
CHAMBER OF DEPUTIES (SECOND ROUND),CAMP-PERRIN-MANICHE,SUD,2016,Jean Wilfrid Lovince,Bouclier,,,"3,195",33.1,,
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,SUD EST,2016,Roudy DEVIL,OPL,,,"6,525",64.3,,
CHAMBER OF DEPUTIES (SECOND ROUND),COTE-DE-FER,SUD EST,2016,Lesly Guirand,PHTK,,,"3,625",35.7,,
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD EST,2016,,,,,,,,
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD EST,2016,,,,,,,2015 presidential election,
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD EST,2016,,,,,,,National summary (first round),http://psephos.adam-carr.net/countries/h/haiti/haiti20152.txt
CHAMBER OF DEPUTIES (SECOND ROUND),,SUD EST,2016,,,,,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Eric-Jean Baptiste,MAS,"56,671",3.6,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Irvenson-Steven Benoit,,"17,851",1.1,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Jean-Henry Céant,RA,"39,005",2.5,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Jude Célestin,LAPEH,"394,390",25.3,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Sauveur-Pierre Etienne,OPKL,"30,227",1.9,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Steeve Khawly,,"16,791",1.1,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Jean-Charles Moïse,PPD,"222,646",14.3,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Jovenel Moïse,PHTK,"511,992",32.8,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Maryse Narcisse,FL,"110,049",7.1,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,47 others,,"138,771",8.9,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,Against all,,"22,238",1.4,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,,,,,,,,
PRESIDENTIAL ELECTION,,SUD EST,2015,,,,,,,2015 legislative election,
PRESIDENTIAL ELECTION,,SUD EST,2015,,,,,,,Senate election,http://psephos.adam-carr.net/countries/h/haiti/haiti2015senate.txt
PRESIDENTIAL ELECTION,,SUD EST,2015,,,,,,,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,YOURI LATORTUE,AAA,"47,005",26.9,ELECTED,,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,CARL MURAT CANTAVE,KID,"18,201",10.4,"96,383",53.4,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,Jean Willy Jean-Baptiste,AAA,"18,009",10.3,"78,131",43.3,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,Levaillant Louis-Jeune,Inite Patriyotik,"11,701",6.7,,,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,Jean-Claude Delice,Verite,"10,336",5.9,,,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,Michel Chrysostome,Lapeh,"10,102",5.8,,,,
LEGISLATIVE ELECTION Senate,,ARTIBONITE,2015,,,,,,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,WILLOT JOSEPH,PHTK,"43,491",27.8,ELECTED,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,Wilfrid Gelin,PHTK,"24,647",15.8,,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,Jean Junior Jiha,Bouclier,"19,974",12.8,,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,Gregory Chevry,Lapeh,"14,179",9.1,,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,Joseph Joel Louis,Kontrapepla,"8,126",5.2,,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,19 others,,,,,,,
LEGISLATIVE ELECTION Senate,,CENTRE,2015,,,,,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,Guy Philippe,Consortium,"24,648",22.5,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,Sorel Jacinthe,Inite Patriyotik,"23,890",21.8,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,Michel Clerie,PHTK,"21,076",19.2,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,Jean-Maxime Roumer,Bouclier,"9,654",8.8,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,Carl Antoine,OPL,"8,173",7.5,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,Jean-Lavaud Frederick,Lapeh,"6,479",5.9,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,11 others,,,,,,,
LEGISLATIVE ELECTION Senate,,GRAND ANSE,2015,,,,,,,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,Marie Carme Sineas Dumelfort,Verite,"19,697",20.5,"22,856",22.1,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,NENEL CASSY,Fanmi Lavalas,"17,289",18,"30,953",30,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,FRANCENET DENIUS,Verite,"15,168",15.8,"28,801",27.9,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,Jean-William Jeanty,Kontrapepla,"11,268",11.7,"19,940",19.3,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,Dieusseul Arice,Renmen Ayiti,"8,029",8.4,,,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,Michelet Casimir,Pitit Dessalines,"7,888",8.2,,,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,10 others,,,,,,,
LEGISLATIVE ELECTION Senate,,NIPPES,2015,,,,,,,,
LEGISLATIVE ELECTION Senate,,NORD,2015,Nawoon Marcellus,Bouclier,"49,560",22.7,,,,
LEGISLATIVE ELECTION Senate,,NORD,2015,Dieudonne Etienne Luma,PHTK,"38,447",17.6,,,,
